"source_id","runtime_id","name","runtime_stage","runtime_stage_key","linked_state_index","linked_state_key","source_character_id","source_relationship","source_export_file","source_sha256","runtime_asset","runtime_sha256","visual_review_status","processing_status"
"63","legacy-63","苦瓜","1","sprout","1","sprout","8","state-character","Crop_63.swf/DefineSprite_8/1.png","c42b4efd6d36fe5f016186cd763824be53843ac8756cda7a556ffee9c4745efc","apps/web/public/assets/manor/classic/crops/63/sprout.png","c42b4efd6d36fe5f016186cd763824be53843ac8756cda7a556ffee9c4745efc","reviewed-ok","ready"
"63","legacy-63","苦瓜","2","young","2","young","18","state-character","Crop_63.swf/DefineSprite_18/1.png","6584088904382ff9ce7755c159a47cbe2adbc045b3467c91feedbac34f7532fa","apps/web/public/assets/manor/classic/crops/63/young.png","6584088904382ff9ce7755c159a47cbe2adbc045b3467c91feedbac34f7532fa","reviewed-ok","ready"
"63","legacy-63","苦瓜","3","growing","3","growing","25","state-character","Crop_63.swf/DefineSprite_25/1.png","453ae0370bd173761b671e85d5236cde4325da11183b44203a1ccfe59cda5382","apps/web/public/assets/manor/classic/crops/63/growing.png","453ae0370bd173761b671e85d5236cde4325da11183b44203a1ccfe59cda5382","reviewed-ok","ready"
"63","legacy-63","苦瓜","4","pre_mature","4","pre_mature","31","state-character","Crop_63.swf/DefineSprite_31/1.png","722c57ac44a9771c4780fc6d9f998d78cb543ada9b91573849465ba606d85f48","apps/web/public/assets/manor/classic/crops/63/pre_mature.png","722c57ac44a9771c4780fc6d9f998d78cb543ada9b91573849465ba606d85f48","reviewed-ok","ready"
"63","legacy-63","苦瓜","5","mature","5","mature","38","state-character","Crop_63.swf/DefineSprite_38/1.png","a7d99f8190ae3c757ee05cd0f8d8c6892ee1666fe418d42596e5354f5b143e63","apps/web/public/assets/manor/classic/crops/63/mature.png","a7d99f8190ae3c757ee05cd0f8d8c6892ee1666fe418d42596e5354f5b143e63","reviewed-ok","ready"
"63","legacy-63","苦瓜","6","withered","6","withered","40","state-character","Crop_63.swf/DefineSprite_40/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","apps/web/public/assets/manor/classic/crops/63/withered.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","reviewed-ok","ready"
"68","legacy-68","冬瓜","0","seed","0","seed","2","state-character","Crop_68.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","apps/web/public/assets/manor/classic/crops/68/seed.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","reviewed-ok","ready"
"68","legacy-68","冬瓜","1","sprout","1","sprout","7","state-character","Crop_68.swf/DefineSprite_7/1.png","45269922bf4d0fe5d894e65fb709d80d8d8381d148cfcbb524da3a1b03eb885e","apps/web/public/assets/manor/classic/crops/68/sprout.png","45269922bf4d0fe5d894e65fb709d80d8d8381d148cfcbb524da3a1b03eb885e","reviewed-ok","ready"
"68","legacy-68","冬瓜","2","young","2","young","17","state-character","Crop_68.swf/DefineSprite_17/1.png","77f45a6d74bb38a58f28c6fbe8ccc54d87e8f609ae41d6dd173dc3c050f6ce2f","apps/web/public/assets/manor/classic/crops/68/young.png","77f45a6d74bb38a58f28c6fbe8ccc54d87e8f609ae41d6dd173dc3c050f6ce2f","reviewed-ok","ready"
"68","legacy-68","冬瓜","3","growing","3","growing","26","state-character","Crop_68.swf/DefineSprite_26/1.png","4fda40fda016788256b743087957a95f4fc847eaf2aad2a1bae1bb6c34d8c508","apps/web/public/assets/manor/classic/crops/68/growing.png","4fda40fda016788256b743087957a95f4fc847eaf2aad2a1bae1bb6c34d8c508","reviewed-ok","ready"
"68","legacy-68","冬瓜","4","pre_mature","4","pre_mature","34","state-character","Crop_68.swf/DefineSprite_34/1.png","72b1666dbac5b48a444d5a0c47608c2492fe363e28be55b7dfbc30a5b950230e","apps/web/public/assets/manor/classic/crops/68/pre_mature.png","72b1666dbac5b48a444d5a0c47608c2492fe363e28be55b7dfbc30a5b950230e","reviewed-ok","ready"
